analyst,avg_days_to_target,avg_difference,num_never_hit_pt,total_predictions,prop,total_predictions_all_companies
ALEX ZUKIN,102.0,54.73590909090908,1,23,0.043478260869565216,114
AMBRISH SRIVASTAVA,48.5,40.206666666666656,2,8,0.25,65
ARI TERJANIAN,15.0,3.6100000000000136,0,1,0.0,2
BEN REITZES,,,1,1,1.0,2
BRAD SILLS,38.57142857142857,62.94714285714286,5,12,0.4166666666666667,74
BRAD ZELNICK,97.52173913043478,56.35434782608696,5,28,0.17857142857142858,246
BRENT BRACELIN,103.8,52.2528,12,37,0.32432432432432434,149
BRENT THILL,131.88235294117646,69.25147058823529,7,41,0.17073170731707318,349
BRIAN SCHWARTZ,107.58333333333333,77.63583333333332,9,21,0.42857142857142855,66
BRIAN WIESER,103.33333333333333,25.47666666666667,3,6,0.5,10
CHRISTOPHER EBERLE,130.0,44.675,0,4,0.0,4
DANIEL IVES,44.0,12.131999999999987,0,5,0.0,490
DERRICK WOOD,111.66666666666667,56.051666666666655,1,19,0.05263157894736842,70
DMITRY KALLIANIOTIS,7.0,14.569999999999993,1,2,0.5,2
GIL LURIA,21.0,11.290000000000001,8,11,0.7272727272727273,88
GREGG MOSKOWITZ,115.0,76.31692307692308,8,21,0.38095238095238093,312
HEATHER BELLINI,78.33333333333333,13.378333333333332,1,13,0.07692307692307693,31
INGO WERMANN,56.4,53.284000000000006,2,7,0.2857142857142857,63
JACKSON ADER,62.333333333333336,51.46999999999999,0,3,0.0,26
JAMES RUTHERFORD,73.0,38.91600000000001,0,5,0.0,5
JAY VLEESCHHOUWER,54.666666666666664,89.21,2,5,0.4,5
JENNIFER SWANSON LOWE,82.16666666666667,55.35,0,12,0.0,29
JOSEPH BONNER,121.45454545454545,60.04363636363635,1,12,0.08333333333333333,72
KARL KEIRSTEAD,91.53333333333333,36.404666666666664,6,21,0.2857142857142857,136
KASH RANGAN,118.78571428571429,70.27642857142857,4,18,0.2222222222222222,120
KEITH BACHMAN,77.67647058823529,44.548529411764704,14,48,0.2916666666666667,298
KEITH WEISS,62.333333333333336,56.217499999999994,11,35,0.3142857142857143,327
KIRK ADAMS,212.2,17.833999999999996,0,5,0.0,9
KIRK MATERNE,77.66666666666667,64.50999999999999,7,13,0.5384615384615384,54
MARK MOERDLER,41.5,54.07666666666666,4,10,0.4,33
MARK MURPHY,19.6,43.23199999999999,1,6,0.16666666666666666,58
MATTHEW HEDBERG,112.06060606060606,43.5939393939394,1,34,0.029411764705882353,187
MATTHEW SWANSON,167.8,98.95600000000002,13,18,0.7222222222222222,18
MICHAEL NEMEROFF,73.47368421052632,37.14631578947368,1,20,0.05,109
MICHAEL TURRIN,132.2,77.053,10,20,0.5,121
NANDAN AMLADI,100.0909090909091,12.416363636363634,0,11,0.0,24
PARKER LANE,109.77777777777777,80.5311111111111,7,16,0.4375,18
PATRICK WALRAVENS,93.25,12.2575,0,4,0.0,29
PHIL WINSLOW,137.46666666666667,33.14866666666667,1,16,0.0625,17
RICHARD DAVIS,85.88235294117646,23.514117647058825,0,17,0.0,57
ROB OLIVER,43.07142857142857,32.39000000000001,2,16,0.125,43
ROBERT BREZA,111.33333333333333,9.649999999999997,0,3,0.0,5
ROSS MACMILLAN,114.21052631578948,16.86684210526316,0,19,0.0,38
RYAN MACDONALD,75.0,19.374999999999993,0,2,0.0,2
SAKET KALIA,91.53846153846153,47.091153846153844,9,35,0.2571428571428571,184
SAMAD SAMANA,104.6,13.745999999999999,0,5,0.0,34
STEFAN SLOWINSKI,197.0,58.685,0,2,0.0,9
STEPHEN BERSEY,1.0,9.50333333333335,0,3,0.0,45
STERLING AUTY,71.76,31.055599999999995,1,26,0.038461538461538464,102
TOM RODERICK,100.41666666666667,46.40708333333333,2,26,0.07692307692307693,26
TYLER RADKE,57.333333333333336,34.97333333333334,7,19,0.3684210526315789,126
WALTER PRITCHARD,80.57894736842105,31.04842105263158,0,19,0.0,48
